"","BLC_ID","BLC_NAME","K2_ID","K2_NAME","K3_ID","K3_NAME","K4_ID","K4_NAME","SPS2015","SPS2016","pro_2016","SPS2017","pro_2017","SPS2018","pro_2018","SPS2019","pro_2019"
"58","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4010,"Prispevek za pokojninsko in invalidsko zavarovanje",98430832.75,99667539.22,1.25999999999999,100794090.1,1.13000000000001,105135461.1,4.30999999999999,110555287,5.16000000000001
"59","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4011,"Prispevek za zdravstveno zavarovanje",55582319.65,58759294.56,5.71999999999999,59684334.43,1.57,62252405.73,4.29999999999999,64554177.28,3.69999999999999
"60","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4012,"Prispevek za zaposlovanje",529525.94,714495.39,34.93,690601.19,-3.34,916317.09,32.68,911483.89,-0.529999999999997
"61","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4013,"Prispevek za starševsko varstvo",926463.32,1037831.84,12.02,1014741.75,-2.22,1179347.82,16.22,1138061.68,-3.5
"62","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",401,"Prispevki delodajalcev za socialno varnost",4015,"Premije kolektivnega dodatnega pokojninskega zavarovanja, na podlagi ZKDPZJU",11307871.94,4187915.38,-62.96,3740545.03,-10.68,3896228.45,4.16000000000001,6180018.23,58.62
"63","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4020,"Pisarniški in splošni material in storitve",222554892.6,71661549.55,-67.8,70969645.39,-0.970000000000004,73811746.8,4,74034130.98,0.299999999999989
"64","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4021,"Posebni material in storitve",102968617.8,105668865,2.62,105248916.2,-0.4,117698403,11.83,172950975.5,46.94
"65","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4022,"Energija, voda, komunalne storitve in komunikacije",62181728.36,55807028.73,-10.25,57317125.57,2.70999999999999,56403324.33,-1.59,56574286.01,0.299999999999989
"66","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4023,"Prevozni stroški in storitve",37805241.59,33501816.72,-11.38,34995788.54,4.46,42528096.77,21.52,42880053.42,0.829999999999997
"67","A","Bilanca prihodkov in odhodkov",40,"TEKOÈI ODHODKI",402,"Izdatki za blago in storitve",4024,"Izdatki za službena potovanja",10529144.19,11327882.65,7.59000000000001,10474095.94,-7.54,11699152.7,11.7,13031989.95,11.39
